Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
eslabon_0,"1,0422E-11","0,017244","0,037691",0,0,0,"0,89153","0,0016943","7,8702E-15","-6,1537E-14","0,0017073","-0,00010181","0,0019831",0,0,0,0,0,0,package://urdf2/meshes/eslabon_0.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://urdf2/meshes/eslabon_0.STL,,Part1-1;Part2-1,Sistema de coordenadas1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,"4,85722573273506E-16","4,9960036108132E-16","-0,0203423923814379",0,0,0,"0,235997319223989","0,000242917324320263","-2,03287907341032E-20","-4,98707991001971E-20","0,000301154082942842","-2,13013066383385E-20","0,000218774157929577",0,0,0,0,0,0,package://urdf2/meshes/Link_1.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdf2/meshes/Link_1.STL,,Part3-1,Sistema de coordenadas2,Eje1,Joint_1,revolute,0,0,"0,145",0,0,"-1,2171",eslabon_0,0,0,1,300,3,0,"3,142",,,,,,,,
link_2,"0,0233269033944592","2,4980018054066E-15","0,0586342311289204",0,0,0,"0,35706117343289","0,00142940937450205","-1,0842021724855E-19","-0,000540372449573386","0,00155564200618658","-1,89735380184963E-19","0,000544753645972744",0,0,0,0,0,0,package://urdf2/meshes/link_2.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdf2/meshes/link_2.STL,,Part4-1,Sistema de coordenadas2,Eje2,Joint_2,continuous,0,0,0,0,0,0,Link_1,0,1,0,200,3,"-1,57","1,57",,,,,,,,
link_3,"-0,0135763809770153","-0,0555832299864361","-6,97451801867643E-09",0,0,0,"0,197506281990069","0,000202701886888169","-2,93205804778591E-05","2,71305654108263E-11","8,9821788904807E-05","1,57443366058806E-11","0,000191906644680011",0,0,0,0,0,0,package://urdf2/meshes/link_3.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdf2/meshes/link_3.STL,,Part5-1;Part6-1,Sistema de coordenadas3,Eje3,Joint_3,revolute,"0,06605",0,"0,13468","1,5708","-1,1148",0,link_2,0,0,-1,200,3,0,"3,142",,,,,,,,
link_4,"0,0252610623340964","-1,57198752792631E-07","1,05072867018219E-07",0,0,0,"0,0567373643332565","1,2172811083238E-05","-5,09895555882774E-11","1,15162084022227E-10","1,52409575169798E-05","-1,92566419846967E-10","1,6776681364006E-05",0,0,0,0,0,0,package://urdf2/meshes/link_4.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://urdf2/meshes/link_4.STL,,Part9-1;Part7-1,Sistema de coordenadas4,Eje4,Joint_4,continuous,"-0,02966","-0,12143",0,0,0,"-1,005",link_3,0,0,-1,200,3,,"-3,142",,,,,,,,
